ID,Time,Place,Latitude,Longitude,Depth,Magnitude,MagType,net,Updated,Type,Status,locationSource,Source,Year,Month,Country
us6000jpl7,2023-02-17 09:37:34.868000+00:00,130 km SW of Tual,-6.5986,132.0763,38.615,6.1,mww,us,2023-02-17T17:58:24.040Z,earthquake,reviewed,us,us,2023,2,Indonesia
us6000jpb1,2023-02-16 05:37:05.138000+00:00,7 km SW of Port-Olry,-15.0912,167.0294,36.029,5.6,mww,us,2023-02-17T05:41:32.448Z,earthquake,reviewed,us,us,2023,2,Vanuatu
us6000jp76,2023-02-15 18:10:10.060000+00:00,Masbate region,12.3238,123.8662,20.088,6.1,mww,us,2023-02-16T20:12:32.595Z,earthquake,reviewed,us,us,2023,2,Philippines
us6000jp1g,2023-02-15 06:38:09.034000+00:00,54 km WNW of Otaki,-40.5465,174.5709,74.32,5.7,mww,us,2023-02-16T06:42:09.738Z,earthquake,reviewed,us,us,2023,2,New Zealand
us6000jnqz,2023-02-14 13:16:51.072000+00:00,2 km NW of Lele?ti,45.1126,23.1781,10.0,5.6,mww,us,2023-02-17T09:15:18.586Z,earthquake,reviewed,us,us,2023,2,Romania
us6000jnk5,2023-02-13 09:18:07.995000+00:00,Kermadec Islands,-29.5218,-177.9727,374.033,6.1,mww,us,2023-02-14T09:20:59.238Z,earthquake,reviewed,us,us,2023,2,New Zealand
us6000jmq0,2023-02-09 10:53:17.268000+00:00,45 km SW of Kirakira,-10.7636,161.644,35.0,5.5,mww,us,2023-02-10T10:56:36.462Z,earthquake,reviewed,us,us,2023,2,Solomon Islands
us6000jm5e,2023-02-07 03:13:12.767000+00:00,8 km ESE of Gölba??,37.7582,37.7303,10.0,5.5,mww,us,2023-02-09T21:31:31.564Z,earthquake,reviewed,us,us,2023,2,Turkey
us6000jm4c,2023-02-07 00:35:51.673000+00:00,81 km WSW of Pelabuhanratu,-7.345,105.9037,57.855,5.5,mb,us,2023-02-08T14:33:57.388Z,earthquake,reviewed,us,us,2023,2,Indonesia
us6000jlrc,2023-02-06 12:02:11.825000+00:00,5 km NE of Göksun,38.0605,36.537,10.0,6.0,mb,us,2023-02-16T21:13:41.161Z,earthquake,reviewed,us,us,2023,2,Turkey
us6000jlql,2023-02-06 10:51:30.942000+00:00,16 km ENE of Do?an?ehir,38.1236,38.0529,12.336,5.7,mb,us,2023-02-08T06:06:26.219Z,earthquake,reviewed,us,us,2023,2,Turkey
us6000jlqe,2023-02-06 10:35:58.653000+00:00,13 km SW of Do?an?ehir,38.0084,37.7505,10.0,5.8,mb,us,2023-02-07T10:41:46.479Z,earthquake,reviewed,us,us,2023,2,Turkey
us6000jlqa,2023-02-06 10:24:49.258000+00:00,4 km SSE of Ekinözü,38.0235,37.203,10.0,7.5,mww,us,2023-02-17T20:24:03.165Z,earthquake,reviewed,us,us,2023,2,Turkey
us6000jlmh,2023-02-06 02:03:36.258000+00:00,2 km S of Tut,37.7769,37.9199,10.0,5.5,mb,us,2023-02-07T02:09:13.772Z,earthquake,reviewed,us,us,2023,2,Turkey
us6000jllz,2023-02-06 01:17:35.525000+00:00,27 km E of Nurda??,37.1662,37.0421,17.943,7.8,mww,us,2023-02-17T20:33:16.918Z,earthquake,reviewed,us,us,2023,2,Turkey
us6000jlhg,2023-02-05 01:02:45.925000+00:00,28 km N of La Serena,-29.6451,-71.2485,68.019,5.5,mww,us,2023-02-06T01:06:31.032Z,earthquake,reviewed,us,us,2023,2,Chile
us6000jlh9,2023-02-05 00:03:19.589000+00:00,Izu Islands,32.6723,141.7624,10.0,5.8,mww,us,2023-02-06T00:10:18.635Z,earthquake,reviewed,us,us,2023,2,Japan region
